ISSN,Title,Business Model,USD,EUR,GBP,JPY,ASJC Code(S)
2376-0605,AACE Clinical Case Reports,Open access,900.00,820,720,"108,910",No Match
2374-2895,Academic Pathology,Open access,1950.00,"1,780","1,560","235,970",No Match
1876-2859,Academic Pediatrics,Hybrid,3000.00,"2,740","2,400","363,030",No Match
1076-6332,Academic Radiology,Hybrid,3510.00,"3,200","2,810","424,750",No Match
0001-4575,Accident Analysis & Prevention,Hybrid,3670.00,"3,350","2,940","444,110",No Match
2949-9453,Accounting Theory and Practice,Open access,1500.00,"1,370","1,200","181,520",No Match
0361-3682,"Accounting, Organizations and Society",Hybrid,3830.00,"3,490","3,070","463,470",No Match
0094-5765,Acta Astronautica,Hybrid,2950.00,"2,690","2,360","356,980",No Match
1742-7061,Acta Biomaterialia,Hybrid,3210.00,"2,930","2,570","388,440",No Match
0122-7262,Acta Colombiana de Cuidado Intensivo,Hybrid,1920.00,"1,750","1,540","232,340",No Match
0065-1281,Acta Histochemica,Hybrid,2810.00,"2,560","2,250","340,040",No Match
1359-6454,Acta Materialia,Hybrid,3210.00,"2,930","2,570","388,440",No Match
1146-609X,Acta Oecologica,Hybrid,2990.00,"2,730","2,390","361,820",No Match
2173-5735,Acta Otorrinolaringologica (English Edition),Hybrid,2680.00,"2,440","2,150","324,310",No Match
0001-6519,Acta Otorrinolaringológica Española,Hybrid,2680.00,"2,440","2,150","324,310",No Match
2211-3835,Acta Pharmaceutica Sinica B,Open access,2600.00,"2,370","2,080","314,630",No Match
1000-6818,Acta Physico-Chimica Sinica,Hybrid,4500.00,"4,100","3,600","544,550",No Match
0001-6918,Acta Psychologica,Open access,2250.00,"2,050","1,800","272,270",No Match
0001-706X,Acta Tropica,Hybrid,3070.00,"2,800","2,460","371,500",No Match
0210-4806,Actas Urológicas Españolas,Hybrid,2760.00,"2,520","2,210","333,990",No Match
2173-5786,Actas Urológicas Españolas (English Edition),Hybrid,2760.00,"2,520","2,210","333,990",No Match
1570-8705,Ad Hoc Networks,Hybrid,2870.00,"2,620","2,300","347,300",No Match
2772-3925,Addiction Neuroscience,Open access,2590.00,"2,360","2,070","313,420",No Match
0306-4603,Addictive Behaviors,Hybrid,4220.00,"3,850","3,380","510,660",No Match
2352-8532,Addictive Behaviors Reports,Open access,3250.00,"2,960","2,600","393,280",No Match
2214-8604,Additive Manufacturing,Hybrid,3920.00,"3,580","3,140","474,360",No Match
2950-4317,Additive Manufacturing Frontiers,Subsidised,**,**,**,**,No Match
2772-3690,Additive Manufacturing Letters,Open access,1430.00,"1,300","1,140","173,040",No Match
2773-2371,Advanced AgroChem,Subsidised,**,**,**,**,No Match
2950-3876,Advanced Bionics,Subsidised,**,**,**,**,No Match
2949-7825,Advanced Design Research,Subsidised,**,**,**,**,No Match
0169-409X,Advanced Drug Delivery Reviews,Hybrid,5150.00,"4,700","4,120","623,200",No Match
1474-0346,Advanced Engineering Informatics,Hybrid,3460.00,"3,160","2,770","418,690",No Match
2950-273X,Advanced Exercise and Health Science,Subsidised,**,**,**,**,No Match
2542-5048,Advanced Industrial and Engineering Polymer Research,Subsidised,**,**,**,**,No Match
2772-8234,Advanced Membranes,Subsidised,**,**,**,**,No Match
2949-9445,Advanced Nanocomposites,Subsidised,**,**,**,**,No Match
2772-834X,Advanced Powder Materials,Subsidised,**,**,**,**,No Match
0921-8831,Advanced Powder Technology,Hybrid,3170.00,"2,890","2,540","383,600",No Match
2773-045X,Advanced Sensor and Energy Materials,Open access,1600.00,"1,460","1,280","193,620",No Match
0882-6110,Advances in Accounting,Hybrid,3050.00,"2,780","2,440","369,080",No Match
2666-7924,Advances in Applied Energy,Open access,4250.00,"3,880","3,400","514,290",No Match
0196-8858,Advances in Applied Mathematics,Hybrid,3150.00,"2,870","2,520","381,180",No Match
2667-1360,Advances in Archaeomaterials,Subsidised,**,**,**,**,No Match
2773-1391,Advances in Bamboo Science,Open access,1450.00,"1,320","1,160","175,460",No Match
2212-4926,Advances in Biological Regulation,Hybrid,3320.00,"3,030","2,660","401,750",No Match
2543-1064,Advances in Biomarker Sciences and Technology,Subsidised,700.00,640,560,"84,710",No Match
2667-3940,Advances in Cancer Biology - Metastasis,Open access,2580.00,"2,350","2,070","312,210",No Match
1674-9278,Advances in Climate Change Research,Subsidised,**,**,**,**,No Match
0001-8686,Advances in Colloid and Interface Science,Hybrid,5000.00,"4,560","4,000","605,050",No Match
0965-9978,Advances in Engineering Software,Hybrid,3700.00,"3,370","2,960","447,740",No Match
2666-9129,Advances in Industrial and Manufacturing Engineering,Open access,2240.00,"2,040","1,790","271,060",No Match
2212-9588,Advances in Integrative Medicine,Hybrid,2230.00,"2,030","1,790","269,850",No Match
2949-8139,Advances in Kidney Disease and Health,Hybrid,3200.00,"2,920","2,560","387,230",No Match
1569-4909,Advances in Life Course Research,Hybrid,3220.00,"2,940","2,580","389,650",No Match
0001-8708,Advances in Mathematics,Hybrid,3510.00,"3,200","2,810","424,750",No Match
1896-1126,Advances in Medical Sciences,Hybrid,2200.00,"2,010","1,760","266,220",No Match
2161-8313,Advances in Nutrition,Open access,5100.00,"4,650","4,080","617,150",No Match
2667-3762,Advances in Ophthalmology Practice and Research,Open access,1600.00,"1,460","1,280","193,620",No Match
2667-1476,Advances in Oral and Maxillofacial Surgery,Open access,1650.00,"1,500","1,320","199,670",No Match
2452-1094,Advances in Radiation Oncology,Open access,2500.00,"2,280","2,000","302,530",No Match
2667-1379,Advances in Redox Research,Open access,1550.00,"1,410","1,240","187,570",No Match
2772-5820,Advances in Sample Preparation,Open access,1510.00,"1,380","1,210","182,730",No Match
0273-1177,Advances in Space Research,Hybrid,2780.00,"2,540","2,230","336,410",No Match
0309-1708,Advances in Water Resources,Hybrid,3730.00,"3,400","2,990","451,370",No Match
1875-9637,Aeolian Research,Hybrid,3630.00,"3,310","2,910","439,270",No Match
1270-9638,Aerospace Science and Technology,Hybrid,4230.00,"3,860","3,390","511,870",No Match
2950-3388,Aerospace Traffic and Safety,Subsidised,**,**,**,**,No Match
1434-8411,AEU - International Journal of Electronics and Communications,Hybrid,3090.00,"2,820","2,470","373,920",No Match
2211-419X,African Journal of Emergency Medicine,Open access,1750.00,"1,600","1,400","211,770",No Match
2950-1962,African Transport Studies,Hybrid,1500.00,"1,370","1,200","181,520",No Match
1568-1637,Ageing Research Reviews,Hybrid,5110.00,"4,660","4,090","618,360",No Match
1359-1789,Aggression and Violent Behavior,Hybrid,3770.00,"3,440","3,020","456,210",No Match
2667-0321,Aging and Health Research,Open access,2320.00,"2,120","1,860","280,740",No Match
2589-9589,Aging Brain,Open access,2070.00,"1,890","1,660","250,490",No Match
0168-1923,Agricultural and Forest Meteorology,Hybrid,3490.00,"3,180","2,790","422,320",No Match
0308-521X,Agricultural Systems,Hybrid,3820.00,"3,480","3,060","462,260",No Match
0378-3774,Agricultural Water Management,Open access,2990.00,"2,730","2,390","361,820",No Match
2949-7981,Agriculture Communications,Open access,1600.00,"1,460","1,280","193,620",No Match
0167-8809,"Agriculture, Ecosystems & Environment",Hybrid,3970.00,"3,620","3,180","480,410",No Match
2666-6510,AI Open,Open access,900.00,820,720,"108,910",No Match
3050-5852,AI Thermal Fluids,Open access,2500.00,"2,280","2,000","302,530",No Match
2090-4479,Ain Shams Engineering Journal,Open access,1000.00,910,800,"121,010",No Match
1067-991X,Air Medical Journal,Hybrid,2700.00,"2,460","2,160","326,730",No Match
2950-2535,AJO International,Open access,1800.00,"1,640","1,440","217,820",No Match
2666-4305,AJO-DO Clinical Companion,Hybrid,3000.00,"2,740","2,400","363,030",No Match
2666-5778,AJOG Global Reports,Open access,1930.00,"1,760","1,550","233,550",No Match
2773-0654,AJPM Focus,Open access,1860.00,"1,700","1,490","225,080",No Match
0741-8329,Alcohol,Hybrid,3610.00,"3,290","2,890","436,850",No Match
1110-0168,Alexandria Engineering Journal,Open access,1500.00,"1,370","1,200","181,520",No Match
2211-9264,Algal Research,Hybrid,3950.00,"3,600","3,160","477,990",No Match
1323-8930,Allergology International,Open access,2280.00,"2,080","1,820","275,900",No Match
2949-9135,Allergy Medicine,Open access,2300.00,"2,100","1,840","278,320",No Match
0002-8703,American Heart Journal,Hybrid,3950.00,"3,600","3,160","477,990",No Match
2666-6022,American Heart Journal Plus: Cardiology Research and Practice,Open access,2740.00,"2,500","2,190","331,570",No Match
