Top Level,Primary Level,Secondary Level,Full Title,ISSN,Unformatted ISSN,Product ID,Status,Change History
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Advances in Anesthesia,0001-4001,07376146,13139,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anaesthesia Critical Care & Pain Medicine,0001-4079,23525568,09011,Active,Formerly known as Annales Françaises d'Anesthésie et de Réanimation
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anaesthesia & Intensive Care Medicine,0001-4079,14720299,04263,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anesthésie & Réanimation,0001-4575,23525800,16356,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Anesthesiology Clinics,0001-4575,19322275,13047,Active,Formerly known as Anesthesiology Clinics of North America
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Best Practice & Research Clinical Anaesthesiology,0001-5814,15216896,12666,Active,Formerly known as Baillière's Clinical Anaesthesiology
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,BJA Education,0001-5814,20585349,18408,Active,"Formerly known as Continuing Education in Anaesthesia, Critical Care & Pain"
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,BJA Open,0001-5814,27726096,31291,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Brazilian Journal of Anesthesiology (English Edition),0001-6519,01040014,15996,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,British Journal of Anaesthesia,0001-6918,00070912,18407,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Breast Cancer,0001-6918,15268209,14051,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Colorectal Cancer,0001-6918,15330028,14055,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Genitourinary Cancer,0001-706X,15587673,14053,Active,Formerly known as Clinical Prostate Cancer
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Lung Cancer,0001-706X,15257304,14056,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinical Lymphoma Myeloma and Leukemia,0001-8686,21522650,14054,Active,Formerly known as Clinical Lymphoma and Myeloma
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Clinics in Anaesthesiology,0001-8708,02619881,-,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Critical Care and Resuscitation,0001-8791,14412772,31649,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Deep Brain Stimulation,0002-1571,29496691,31476,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Douleurs : Évaluation – Diagnostic – Traitement,0002-6417,16245687,15538,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,EMC - Anestesia-Reanimación,0002-7138,12804703,09205,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,EMC - Anestesia-Rianimazione,0002-7138,12830771,09204,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Intensive and Critical Care Nursing,0002-8223,09643397,12744,Active,Formerly known as Intensive Care Nursing
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,International Journal of Obstetric Anesthesia,0002-8223,0959289X,12733,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Interventional Pain Medicine,0002-8703,27725944,31278,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,JCA Advances,0002-9149,29505534,31825,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Anesthesia and Translational Medicine,0002-9165,29573912,31820,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Cardiothoracic and Vascular Anesthesia,0002-9165,10530770,13051,Active,Formerly known as Journal of Cardiothoracic Anesthesia
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Clinical Anesthesia,0002-9270,09528180,07690,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Critical Care,0002-9297,08839441,13066,Active,"Incorporating Seminars in Anesthesia, Perioperative Medicine and Pain"
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of ISAKOS,0002-9343,20597754,31337,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,The Journal of Pain,0002-9343,15265900,13134,Active,Formerly known as Pain Forum
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of Pain and Symptom Management,0002-9378,08853924,07725,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Journal of PeriAnesthesia Nursing,0002-9378,10899472,13187,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Médecine Palliative,0002-9394,16366522,15102,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Pain Management Nursing,0002-9440,15249042,13160,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Perioperative Care and Operating Room Management,0002-9440,24056030,18801,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Le Praticien en Anesthésie Réanimation,0002-9610,12797960,15850,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Revista Española de Anestesiología y Reanimación,0003-0465,00349356,15974,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Revista Española de Anestesiología y Reanimación (English Edition),0003-0465,23411929,16835,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,The Saudi Dental Journal,0003-2670,10139052,08685,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Seminars in Arthritis and Rheumatism,0003-2697,00490172,13201,Active,
Health Sciences,Medicine and Dentistry,Anesthesiology and Pain Medicine,Trends in Anaesthesia and Critical Care,0003-2778,22108440,12728,Active,Formerly known as Current Anaesthesia & Critical Care
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,American Heart Journal,0003-2778,00028703,13240,Active,
Health Sciences,Medicine and Dentistry,Cardiology and Cardiovascular Medicine,American Heart Journal Plus: Cardiology Research and Practice,0003-3170,26666022,30359,Active,
